ID,State,Income,Kids,Teens,Age,Divorced,Married,Single,Together,Widow,Basic,Graduate,Master,PhD,Recency,Wines,Fruits,Meats,Seafood,Sweets,Premium,Regular,Deals,Website,Catalog,Store,Visits,MC3,MC4,MC5,MC1,MC2,Complaint,Pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,State-Texas,192955,0,0,47,0,1,0,0,0,0,1,0,0,35,1439,44,1920,64,50,174,3342,1,6,7,9,2,0,0,1,1,0,0,1,,Premium,0.066691291,-0.097715964,0.020069552,-0.005001581,0.003359345,0.022507415,-0.018949197,-0.011208825,0.003934334,-0.019512567,0.05212132,0.002030786,-0.053210094,-0.012889514,0.160973543,0.198745559,0.040667925,0.190329026,0.173490517,1,,,,,,,,,,,,,
1410,State-Florida,192910,0,0,34,0,1,0,0,0,0,1,0,0,42,1144,284,1644,372,214,69,3590,1,6,7,13,1,0,1,1,1,0,0,0,,Regular,0.468871182,-0.267104735,-0.056926521,0.056011723,-0.000341234,0.011739047,-0.025928139,0.004929798,0.015919711,-0.089375551,-0.008663273,0.0045709,0.028735812,0.013916922,0.550580929,0.327723306,0.890766134,0.34717919,0.331327142,0.00661834,1,,,,,,,,,,,,
1130,State-New York,192859,0,0,28,0,0,1,0,0,0,0,1,0,46,1998,127,1913,108,127,42,4231,1,5,4,12,2,0,0,0,0,0,0,0,,Deals,-0.129974505,0.088784136,0.234750901,0.027194985,0.063142294,0.01585528,-0.058330819,-0.013824202,0.016880529,-0.020214769,-0.008802152,0.006339019,-0.001115952,0.000479193,0.080533758,-0.096640392,0.09179106,-0.106372523,-0.075275573,0.034786036,0.087106032,1,,,,,,,,,,,
2885,State-California,192556,0,0,60,0,0,0,1,0,0,0,0,0,32,1026,381,732,383,48,58,2511,0,3,5,13,0,0,0,0,0,0,0,0,,Website,0.504461102,-0.310586019,0.179197587,0.148268688,0.044510613,-0.005436289,-0.043475806,0.003678398,0.029384161,-0.126948884,0.011812942,0.0027874,0.046501131,-0.005104469,0.588268292,0.284183496,0.079197401,0.285148282,0.318971587,0.334968641,0.309488773,0.25250181,1,,,,,,,,,,
2408,State-New York,192533,0,0,35,0,1,0,0,0,0,1,0,0,84,1442,44,246,229,306,87,2178,1,6,5,11,2,0,0,1,1,0,0,0,,Catalog,0.712296957,-0.432014409,-0.077409672,0.114531623,0.003833065,-0.006697936,-0.003477046,-0.008966181,0.040829338,-0.124031605,0.036889254,-0.010707909,0.025687175,0.029749556,0.648399333,0.454550368,0.391118868,0.507553953,0.472410366,0.177093795,0.637102427,-0.058624857,0.4208896,1,,,,,,,,,
2696,State-New York,192491,0,0,37,0,1,0,0,0,0,0,0,1,71,2037,92,1946,60,52,46,4142,1,7,5,12,3,0,1,1,1,0,0,1,,Store,0.687854811,-0.388054389,0.093068483,0.14084033,0.017612769,-0.003257295,-0.026456637,0.009395882,0.016420574,-0.150423307,0.006963789,0.027255223,0.038361661,0.00046212,0.638644529,0.413785438,0.12381132,0.413787731,0.41187614,0.110717472,0.413054748,0.072709935,0.512108636,0.561261336,1,,,,,,,,
2362,State-Other,192344,0,0,72,0,1,0,0,0,0,1,0,0,9,2066,50,1446,106,40,248,3460,0,5,10,5,1,1,0,1,0,0,0,0,,Visits,-0.647754852,0.393720406,0.109728641,-0.09569873,0.026390084,0.0078071,-0.036394761,0.016867323,-0.023293401,0.113067784,-0.022573787,-0.007075157,-0.040590773,-0.017905759,-0.257502732,-0.343662934,-0.188777817,-0.380082051,-0.35273293,-0.066005842,-0.308856875,0.363545013,-0.06144992,-0.530622915,-0.449355732,1,,,,,,,
1575,State-Texas,192163,0,0,45,0,1,0,0,0,0,0,1,0,25,1703,382,1662,221,340,42,4266,0,5,11,5,2,0,0,1,1,0,0,1,,MC3,-0.010987333,0.031191595,-0.030631195,-0.058095405,0.006088788,0.038677065,-0.00951918,-0.039859251,0.003628238,0.012245872,0.012141213,-0.013906529,-0.021263407,-0.032327402,0.067464866,0.008121054,0.001256557,-0.001500351,-0.004369913,0.074890398,0.01914995,-0.022882482,0.041540008,0.112007125,-0.071258836,0.059675352,1,,,,,,
1795,State-Illinois,191820,0,0,34,0,0,0,1,0,0,0,0,1,72,857,153,1561,159,336,63,3002,0,5,5,12,1,0,0,0,0,0,0,0,,MC4,0.234100557,-0.121090997,0.018705522,0.084956724,-0.017179548,0.023001372,-0.031390157,0.006635593,0.022241098,-0.044485372,-0.031128526,0.031868799,0.045212368,0.017658376,0.371727005,-0.018514758,0.018566871,-0.012079053,-0.00084119,-0.017379954,0.165418309,0.017221212,0.161987252,0.149593798,0.177018648,-0.0309888,-0.080087798,1,,,,,
2967,State-Texas,191712,0,0,73,0,0,1,0,0,0,0,1,0,47,2667,50,1559,196,61,100,4434,0,9,7,11,3,0,0,1,0,0,0,1,,MC5,0.417812015,-0.201936363,-0.184649306,-0.010628946,-0.032687991,0.005884612,-0.007741695,0.017744123,0.013863287,-0.044044258,0.019226421,-0.012432996,0.027117567,0.000333849,0.412832693,0.155671149,0.102389472,0.143217685,0.204157532,0.044471601,0.271597855,-0.186974651,0.140631765,0.339603307,0.213742416,-0.279758802,0.080604991,0.312423902,1,,,,
2012,State-New York,191700,0,0,49,0,0,1,0,0,0,1,0,0,58,1204,360,2009,261,240,40,4035,1,8,6,5,3,0,0,0,0,0,0,1,,MC1,0.34626933,-0.171413394,-0.139201565,0.014702374,-0.004526392,0.01518318,-0.00322352,-0.011160354,0.001070206,-0.041172891,0.037437295,-0.02239849,-0.015854669,-0.021096838,0.310363085,0.146625013,0.087063071,0.214452597,0.198787675,0.047522841,0.221502393,-0.129537865,0.158446289,0.326437463,0.177887283,-0.198196845,0.095350226,0.242502502,0.409282524,1,,,
2897,State-California,191249,0,0,64,0,0,1,0,0,0,1,0,0,84,2775,57,249,149,226,57,3400,0,7,9,6,4,0,1,1,1,1,0,1,,MC2,0.11054028,-0.024031097,-0.02666888,0.002192748,-0.014316394,-0.004974916,-0.014164918,0.029153368,-0.000729922,-0.018430953,0.006391992,-0.031241519,0.05289973,-0.001390233,0.206660478,-0.020949562,0.009275683,-0.006224294,-0.001285516,0.014388338,0.08763623,-0.038513217,0.034301097,0.105829931,0.084904675,-0.008288523,0.071554122,0.294953249,0.222846617,0.176520345,1,,
3135,State-Texas,191172,0,0,30,0,0,1,0,0,0,0,1,0,94,340,59,1715,0,59,117,2055,0,4,3,7,3,1,0,1,1,1,0,1,,Complaint,-0.027576331,0.010017683,0.025196402,0.029740218,0.014471465,0.002493967,0.031060757,-0.034557656,-0.018076246,-0.015014334,0.027532451,-0.016869483,-0.003485503,0.005758228,-0.037415157,-0.003870151,-0.008196798,-0.020694155,-0.020806793,-0.016208549,-0.022385124,0.004141765,-0.014006954,-0.018647308,-0.012503751,0.020341553,0.009535324,-0.027120001,-0.008463928,-0.025100585,-0.011236221,1,
1402,State-Other,191065,0,0,39,0,0,1,0,0,0,1,0,0,33,1725,239,227,376,287,239,2614,1,7,9,9,3,0,0,1,1,0,0,1,,Pilot,0.175536571,-0.076897529,-0.107769257,-0.015244889,0.026638441,-0.04412608,0.058333175,-0.025850384,0.003627294,-0.03311139,0.013834948,-0.017456447,0.019782552,-0.200413136,0.230503517,0.107832373,0.066778009,0.088912196,0.103306344,0.064313919,0.1556835,0.004690738,0.149699415,0.234523961,0.033508605,-0.005358181,0.253575818,0.179727326,0.324648184,0.296977534,0.169128354,-0.000272645,1
2872,State-Other,190933,0,0,66,0,0,1,0,0,0,0,0,1,90,2142,65,903,130,132,166,3206,1,4,6,4,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,State-Texas,190842,0,0,72,0,0,1,0,0,0,1,0,0,57,1626,147,248,382,393,195,2601,1,4,9,13,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,State-Other,190765,0,0,50,0,1,0,0,0,0,1,0,0,25,1150,208,1707,317,172,69,3485,0,4,6,5,1,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242,State-Other,190687,0,0,37,1,0,0,0,0,0,0,0,1,98,2065,36,1413,48,71,107,3526,1,6,2,8,2,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2160,State-Florida,190638,0,0,29,0,0,1,0,0,0,0,1,0,29,2431,252,1925,198,303,202,4907,1,3,4,10,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,State-Other,190638,0,0,29,0,0,1,0,0,0,0,1,0,29,2431,252,1925,198,303,202,4907,1,3,4,10,1,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783,State-California,190369,0,0,64,0,1,0,0,0,0,1,0,0,2,615,107,2067,472,48,36,3274,1,4,6,6,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,State-Florida,190300,0,0,41,0,0,0,1,0,0,1,0,0,7,1252,282,1656,70,282,120,3422,0,5,6,8,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,State-Texas,190273,0,0,29,0,0,1,0,0,0,1,0,0,32,1484,272,1798,253,156,234,3729,1,5,6,7,2,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,State-Other,190247,0,0,32,0,0,1,0,0,0,0,1,0,27,2496,67,742,44,34,34,3350,1,3,4,7,1,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2577,State-Texas,190226,0,0,64,0,1,0,0,0,0,0,1,0,26,2283,228,1368,533,318,228,4503,1,4,7,12,2,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3136,State-Other,190000,0,0,36,0,1,0,0,0,0,1,0,0,91,1425,304,281,198,405,509,2105,1,4,8,5,1,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,State-Florida,189891,0,0,29,0,0,0,1,0,0,1,0,0,17,870,46,279,125,59,387,993,1,11,6,8,4,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,State-California,189694,1,1,47,1,0,0,0,0,0,1,0,0,22,2381,59,446,78,59,89,2935,3,4,3,4,5,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3158,State-New York,189616,0,0,37,0,0,1,0,0,0,0,1,0,36,1420,99,1386,307,235,32,3415,1,7,5,12,2,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,State-Florida,189572,0,0,54,0,0,1,0,0,0,0,0,0,44,1283,51,2061,417,411,135,4087,1,7,7,9,4,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,State-Texas,189120,0,0,61,0,0,0,1,0,0,0,1,0,78,2479,195,866,153,274,117,3849,1,5,6,7,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,State-Texas,189058,0,0,60,0,1,0,0,0,0,0,1,0,18,964,412,225,66,47,91,1622,1,5,4,4,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2866,State-Other,188420,0,0,31,0,0,0,1,0,0,0,1,0,87,2039,326,1304,211,202,326,3757,1,4,7,8,1,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056,State-Other,188347,0,0,59,0,0,0,1,0,0,1,0,0,32,2238,379,1183,164,294,252,4008,1,4,7,9,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3179,State-California,188325,0,0,39,0,0,0,1,0,0,1,0,0,42,1107,151,1834,198,58,113,3235,1,6,2,9,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,State-Illinois,188194,0,1,41,0,0,1,0,0,0,0,0,0,19,1468,30,659,429,51,81,2556,1,11,10,10,5,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314,State-Other,188097,1,0,42,0,1,0,0,0,0,0,1,0,24,348,0,1025,0,269,160,1482,1,6,5,8,9,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,State-Illinois,187771,0,1,61,0,0,0,1,0,0,1,0,0,61,3192,81,614,107,122,71,4045,1,5,10,4,6,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,State-California,187771,0,1,61,0,0,0,1,0,0,1,0,0,61,3192,81,614,107,122,71,4045,1,5,10,4,6,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,State-New York,187679,0,0,32,0,0,0,1,0,0,1,0,0,62,2695,368,1745,208,317,71,5261,1,7,11,10,4,1,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,State-California,187305,0,0,60,1,0,0,0,0,0,0,0,0,19,740,54,1075,135,296,172,2128,1,5,3,8,2,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,State-Other,187195,0,0,61,0,1,0,0,0,0,1,0,0,35,466,163,1481,107,56,82,2192,1,3,11,5,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,State-Florida,187188,0,0,37,0,0,1,0,0,0,0,0,1,73,1954,238,1554,105,159,118,3892,1,10,2,6,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057,State-California,187171,0,0,39,0,1,0,0,0,0,0,0,1,27,2149,94,230,125,94,94,2598,1,6,7,11,2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055,State-Illinois,187000,0,0,28,0,1,0,0,0,0,0,0,0,61,421,54,1305,144,37,105,1855,1,4,6,7,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2862,State-Florida,186979,0,0,49,1,0,0,0,0,0,0,0,1,67,1255,215,1795,140,178,75,3508,1,5,5,5,2,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,State-Florida,186857,0,0,48,0,0,1,0,0,0,0,0,1,96,1934,219,1803,286,219,86,4376,1,5,6,10,2,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,State-California,186857,0,0,48,0,0,1,0,0,0,0,0,1,96,1934,219,1803,286,219,86,4376,1,5,6,10,2,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,State-Florida,186836,0,0,45,0,1,0,0,0,0,0,0,1,7,385,45,587,0,45,136,927,1,6,10,6,5,1,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,State-Other,186718,0,0,66,0,1,0,0,0,0,1,0,0,20,741,407,1038,108,71,370,1994,1,5,6,5,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2646,State-Florida,186610,0,0,69,0,0,0,1,0,0,1,0,0,66,961,231,1655,71,422,114,3225,1,5,6,6,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,State-New York,186580,0,0,37,0,1,0,0,0,0,0,0,1,72,1146,45,274,56,43,43,1521,0,4,2,5,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,State-Texas,186429,0,0,59,0,0,1,0,0,0,1,0,0,10,1001,60,1883,63,39,80,2966,0,7,4,7,2,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,State-California,186424,0,0,64,0,0,1,0,0,0,0,1,0,12,835,147,1227,192,97,147,2351,1,6,9,12,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107,State-Illinois,186358,1,1,54,0,0,1,0,0,0,1,0,0,78,2065,101,1066,177,101,205,3306,4,5,3,6,8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,State-Other,186111,0,0,58,0,1,0,0,0,0,1,0,0,73,862,61,1634,78,86,272,2449,1,5,7,10,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,State-Illinois,186037,0,0,29,0,0,1,0,0,0,1,0,0,95,1060,95,270,63,43,48,1483,1,6,7,11,3,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2071,State-Illinois,185844,0,0,47,0,1,0,0,0,0,0,0,1,62,2031,41,1825,54,206,82,4074,1,6,6,7,2,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,State-Other,185738,0,0,42,0,0,0,1,0,0,0,1,0,41,1978,56,815,37,56,28,2914,1,3,6,11,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,State-Other,185710,0,0,31,0,1,0,0,0,0,0,0,0,5,1300,43,758,63,65,72,2158,1,6,9,10,2,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2118,State-Florida,185696,0,0,58,1,0,0,0,0,0,0,0,1,88,1547,165,856,251,0,26,2793,1,4,6,9,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,State-Illinois,185696,0,0,58,1,0,0,0,0,0,0,0,1,88,1547,165,856,251,0,26,2793,1,4,6,9,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,State-New York,185693,0,1,41,0,0,0,1,0,0,1,0,0,59,836,373,397,401,286,241,2052,2,9,5,11,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,State-Texas,185683,0,0,66,1,0,0,0,0,0,1,0,0,6,2809,37,674,98,150,111,3656,1,2,4,10,1,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,State-Florida,185620,0,0,56,0,0,0,0,1,0,1,0,0,68,902,100,2005,130,232,100,3269,1,3,6,4,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,State-New York,185606,0,1,44,0,0,0,1,0,0,1,0,0,89,1555,91,1873,475,65,182,3877,2,6,7,9,3,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,State-Florida,185485,0,0,62,0,0,1,0,0,0,0,0,0,73,1367,56,1326,95,39,117,2766,1,6,6,6,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,State-Florida,185431,0,0,68,0,0,0,1,0,0,0,0,1,54,816,115,1003,365,115,115,2299,1,2,7,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,State-New York,185072,0,0,43,0,0,1,0,0,0,1,0,0,94,1075,200,851,422,24,524,2047,1,3,4,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,State-New York,184953,0,0,67,0,0,0,0,1,0,0,1,0,73,364,105,1311,137,157,157,1916,1,3,10,4,2,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,State-Other,184906,0,0,48,0,0,0,1,0,0,1,0,0,98,2171,33,902,216,65,166,3221,1,5,6,12,2,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,State-Other,184906,0,0,48,0,0,0,1,0,0,1,0,0,98,2171,33,902,216,65,166,3221,1,5,6,12,2,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,State-Other,184865,0,0,59,0,0,1,0,0,0,0,0,1,1,2719,35,760,94,35,35,3607,1,2,4,9,4,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
